id,category,cooldown_group,buckets,direction,text
C001,clear,,whisper,,"Right now there is nothing between us. The sound travels straight from me to you, the shortest way it can, so I barely have to speak at all."
C002,clear,,conversational,,"We still have a clear line between us. The sound goes directly through the air, so a normal speaking voice is all this distance needs."
C003,clear,,whisper conversational,,"Notice how close I sound. No walls, no corners, just a straight line from my mouth to your ears."
C004,clear,,raised shout,,"I can still see you from where I am standing, so the sound has a clear straight path to travel. The only thing working against it is the distance."
F001,clear,,raised,,"You are a long way off now, but I can still see you. The sound only has to cross open air, so the only thing that changed is how far it has to go."
F002,clear,,shout,,"Nothing between us but distance! There is still a straight line from me to you, so the sound goes directly, I just have to push it much harder to cover the gap!"
F003,clear,,raised shout,,"Look at the distance between us! The path is still perfectly straight, so all of this is just the sound weakening as it travels!"
P001,partiallyoccluded,,whisper,,"There is something between us now, but it is barely doing anything. You are close enough that the sound just gets around it."
P002,partiallyoccluded,,conversational,,"Notice there is something in the way. It is clipping the edge of the path rather than blocking it, so the sound still arrives more or less whole."
P003,partiallyoccluded,,raised,,"There is an obstruction between us, though it is the distance making me lift my voice, not that. The sound is still finding its way mostly straight to you."
P004,partiallyoccluded,,shout,,"Something is clipping the line between us, but it is the distance I am fighting! The sound still gets through, it just has a very long way to go!"
L001,lostsight,,conversational raised,,"There, you just stepped out of sight. The straight path between us is gone, so the sound has to start finding its way around instead."
L002,lostsight,,raised shout,,"You disappeared behind something! The direct route is blocked now, so listen, the sound is going to bend around the edges to reach you!"
L003,lostsight,,conversational raised,,"Wait, I lost you. The direct path just closed."
L004,lostsight,,raised shout,,"You are gone! Everything has to bend around now!"
R001,sightregained,,whisper conversational,,"There you are. The straight path is open again, so the sound comes directly to you now."
R002,sightregained,,conversational raised,,"Good, I can see you again! Nothing in the way, so my voice takes the short route straight across!"
R003,sightregained,,whisper conversational,,"Back in view. Listen to how much cleaner that sounds with nothing to bend around."
R004,sightregained,,raised shout,,"There you are again! Straight line restored!"
A001,aroundcorner,,conversational raised,,"I cannot see you now, but only just. The sound only has to bend around a single corner, so it barely travels further than it did a moment ago."
A002,aroundcorner,,conversational raised,,"You are just around the edge of that. The path bends once and arrives, which is why I sound almost as close as before."
W001,behindwall,,raised shout,,"Here is the strange one. We are physically very close, but the sound has to go a long way to reach you. It cannot pass through the wall, so it travels all the way around, and that is why I am raising my voice at someone standing a couple of steps away."
W002,behindwall,,raised shout,,"You are right on the other side of this, close enough to touch, but the sound cannot take that route. It has to leave, go around, and come back, and that whole journey is why I sound so far away."
W003,behindwall,,shout,,"Almost within reach, and yet I am shouting! The distance between us is tiny, but the distance the sound has to travel is enormous!"
O001,occluded,,conversational,,"You are hidden from me now. Everything you hear from me has bent its way around the geometry between us to get there."
O002,occluded,,raised,,"You are somewhere back there. The sound is finding a path around the obstacles, and every corner it turns takes a little more out of it."
O003,occluded,,shout,,"You are deep behind something now! The sound is taking a long way around to reach you, and you can hear how much it loses on the journey!"
O004,occluded,,whisper conversational,,"Out of sight, but not far. The sound still finds a way around to you, so I do not need much volume."
T001,transition,,whisper,closer,"You came close again, so there is no reason to keep shouting."
T002,transition,,conversational raised,closer,"You are much nearer now, so I can ease off and let the sound travel the short way."
T003,transition,,conversational raised,farther,"You are moving away, so I have to start pushing my voice to keep reaching you."
T004,transition,,shout,farther,"You are getting out of range! I have to switch to shouting mid-sentence just to stay audible!"
